id,codep,codmun,codind,nomind,manmue,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam,sincasos,sinpoblacion,sintasa,rural,urbano,sinfor,despazado,otro,discapacitado,nodiscapacitado,sinfodiscapacitado,amarillo,blanco,indigena,mestizo,mulato,negro,sinfraza,total
1,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2022,4,3,6728,44.589774078478,3,3433,87.38712496358869,0,3295,0,0,0,0,1,2,0,0,3,0,3,0,0,1,1,1,0,0,0,3
2,91,91001,73,"Tasa de Homicidios en niños, niñas y adolescentes",VIOLENTA - HOMICIDIO,2022,4,2,6728,29.726516052318665,2,3433,58.258083309059124,0,3295,0,0,0,0,1,1,0,0,2,0,2,0,0,0,1,1,0,0,0,2
3,91,91001,74,"Tasa de suicidios en niños, niñas y adolescentes",VIOLENTA - SUICIDIO,2022,4,1,6728,14.863258026159333,1,3433,29.129041654529562,0,3295,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
4,91,91001,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2022,5,13,10631,122.28388674630796,12,5601,214.24745581146223,1,5030,19.880715705765407,0,0,0,3,10,0,0,13,0,13,0,0,1,3,9,0,0,0,13
5,91,91001,113,Tasa de otros accidentes (18 - 28 años),VIOLENTA - ACCIDENTAL,2022,5,1,10631,9.406452826639073,1,5601,17.853954650955185,0,5030,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
6,91,91001,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2022,5,9,10631,84.65807543975167,8,5601,142.83163720764148,1,5030,19.880715705765407,0,0,0,3,6,0,0,9,0,9,0,0,1,1,7,0,0,0,9
7,91,91001,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2022,5,1,10631,9.406452826639073,1,5601,17.853954650955185,0,5030,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
8,91,91001,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2022,5,2,10631,18.812905653278147,2,5601,35.70790930191037,0,5030,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,1,0,0,0,2
9,91,91530,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2022,5,1,133,751.8796992481202,1,62,1612.9032258064515,0,71,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
10,91,91530,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2022,5,1,133,751.8796992481202,1,62,1612.9032258064515,0,71,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
11,05,5002,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2022,4,1,1906,52.46589716684156,0,1027,0,1,879,113.76564277588167,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
