id,codep,codmun,codind,nomind,manmue,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam,sincasos,sinpoblacion,sintasa,rural,urbano,sinfor,despazado,otro,discapacitado,nodiscapacitado,sinfodiscapacitado,amarillo,blanco,indigena,mestizo,mulato,negro,sinfraza,total
1,91,91405,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,(18 a 28),1,417,239.8081534772182,1,251,398.40637450199205,0,166,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2,91,91405,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,(18 a 28),1,417,239.8081534772182,1,251,398.40637450199205,0,166,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
3,91,91407,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,(01 a 05),1,499,200.4008016032064,0,244,0,1,255,392.156862745098,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
4,91,91407,75,"Tasa de muertes por otros accidentes en niños, niñas y adolescentes",VIOLENTA - ACCIDENTAL,2020,(01 a 05),1,499,200.4008016032064,0,244,0,1,255,392.156862745098,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,(12 a 17),1,6281,15.92103168285305,1,3237,30.892801977139328,0,3044,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
6,91,91001,74,"Tasa de suicidios en niños, niñas y adolescentes",VIOLENTA - SUICIDIO,2020,(12 a 17),1,6281,15.92103168285305,1,3237,30.892801977139328,0,3044,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
7,91,91001,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,(18 a 28),5,9593,52.12133847597206,5,5140,97.27626459143968,0,4453,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,5,0,0,0,5
8,91,91001,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,(18 a 28),2,9593,20.848535390388825,2,5140,38.91050583657588,0,4453,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,2
9,91,91001,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,(18 a 28),2,9593,20.848535390388825,2,5140,38.91050583657588,0,4453,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,2
10,91,91001,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2020,(18 a 28),1,9593,10.424267695194413,1,5140,19.45525291828794,0,4453,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
