Departamento,2020,2021,2022,2023,Total
ANTIOQUIA,2596,2708,2898,2638,10840
ATLANTICO,676,908,922,896,3402
BOGOTA D.C,1294,1566,1466,1500,5826
BOLIVAR,556,616,786,914,2872
BOYACA,310,346,366,330,1352
CALDAS,268,314,322,262,1166
CAQUETA,202,176,220,212,810
CAUCA,850,1004,1172,1034,4060
CESAR,376,502,610,534,2022
CORDOBA,312,430,488,468,1698
CUNDINAMARCA,668,832,928,1048,3476
CHOCO,242,270,374,240,1126
HUILA,434,566,532,638,2170
LA GUAJIRA,228,258,250,242,978
MAGDALENA,464,556,618,610,2248
META,468,458,500,512,1938
NARIÑO,502,532,520,618,2172
NT.SANTANDER,754,808,652,772,2986
QUINDIO,266,228,252,234,980
RISARALDA,286,318,350,332,1286
SANTANDER,534,708,754,804,2800
SUCRE,160,266,268,450,1144
TOLIMA,404,532,614,592,2142
VALLE,2454,3032,2770,2600,10856
ARAUCA,180,276,390,236,1082
CASANARE,248,200,196,194,838
PUTUMAYO,194,220,350,320,1084
AMAZONAS,46,54,40,68,208
GUAINIA,18,38,32,14,102
GUAVIARE,6,30,14,4,54
VAUPES,24,44,42,48,158
VICHADA,8,4,26,4,42
SAN ANDRES,16,24,18,34,92
