Departamento,2020,2021,2022,2023,Total
ANTIOQUIA,332,418,456,380,1586
ATLANTICO,76,96,86,76,334
BOGOTA D.C,236,204,296,310,1046
BOLIVAR,56,84,94,130,364
BOYACA,56,78,90,74,298
CALDAS,34,30,50,52,166
CAQUETA,32,30,36,38,136
CAUCA,130,128,178,136,572
CESAR,94,80,92,80,346
CORDOBA,66,68,48,50,232
CUNDINAMARCA,114,158,220,192,684
CHOCO,36,38,28,20,122
HUILA,92,104,88,110,394
LA GUAJIRA,32,38,44,34,148
MAGDALENA,68,84,96,82,330
META,74,72,98,102,346
NARIÑO,82,116,124,112,434
NT.SANTANDER,100,106,96,120,422
QUINDIO,20,34,42,22,118
RISARALDA,54,70,70,58,252
SANTANDER,102,134,140,104,480
SUCRE,14,42,30,26,112
TOLIMA,92,100,96,102,390
VALLE,268,268,334,298,1168
ARAUCA,36,46,54,38,174
CASANARE,28,36,44,48,156
PUTUMAYO,34,36,34,52,156
AMAZONAS,6,2,14,4,26
GUAINIA,2,0,2,8,12
GUAVIARE,2,14,0,2,18
VAUPES,4,16,12,16,48
VICHADA,8,10,4,8,30
SAN ANDRES,6,0,8,8,22
